"HERO ID","HERO NAME","Circle Photo URL","Circle Image Formula","Ban Photo URL","Ban Image Formula","Selection Photo URL","Selection Image Formula"
"0","Hero 0","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/0_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/0_CIRCLE.png"")","","","",""
"1","Miya","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/1_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/1_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/1_Miya_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/1_Miya_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/1_Miya_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/1_Miya_selection.png"")"
"2","Balmond","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/2_CIRCLE1.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/2_CIRCLE1.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/2_Balmond_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/2_Balmond_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/2_Balmond_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/2_Balmond_selection.png"")"
"3","Saber","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/3_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/3_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/3_Saber_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/3_Saber_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/3_Saber_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/3_Saber_selection.png"")"
"4","Alice","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/4_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/4_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/4_Alice_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/4_Alice_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/4_Alice_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/4_Alice_selection.png"")"
"5","Nana","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/5_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/5_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/5_Nana_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/5_Nana_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/5_Nana_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/5_Nana_selection.png"")"
"6","Tigreal","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/6_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/6_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/6_Tigreal_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/6_Tigreal_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/6_Tigreal_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/6_Tigreal_selection.png"")"
"7","Alucard","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/7_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/7_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/7_Alucard_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/7_Alucard_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/7_Alucard_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/7_Alucard_selection.png"")"
"8","Karina","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/8_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/8_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/8_Karina_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/8_Karina_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/8_Karina_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/8_Karina_selection.png"")"
"9","Akai","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/9_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/9_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/9_Akai_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/9_Akai_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/9_Akai_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/9_Akai_selection.png"")"
