Player,TeamCode,TeamName,Role
YAZUKEE,AE,Alter Ego Esports,Jungle
HIJUMEE,AE,Alter Ego Esports,Mid
ALEKK,AE,Alter Ego Esports,Roam
ARFY,AE,Alter Ego Esports,Gold
REYY,AE,Alter Ego Esports,Jungle
CYRUZ,AE,Alter Ego Esports,Mid
SHOGUN,AE,Alter Ego Esports,EXP
NNAEL,BTR,Bigetron by Vitality,Jungle
MORENOOO,BTR,Bigetron by Vitality,Mid
FINN,BTR,Bigetron by Vitality,Roam
EMANN,BTR,Bigetron by Vitality,Gold
CLIVEEE,BTR,Bigetron by Vitality,Gold
RYZAA,BTR,Bigetron by Vitality,Mid
LYNCH,BTR,Bigetron by Vitality,EXP
KARSS,BTR,Bigetron by Vitality,EXP
ANDORYUUU,NAVI,Natus Vincere,Jungle
UK1R,NAVI,Natus Vincere,Mid
APRHO,NAVI,Natus Vincere,Roam
XYVE,NAVI,Natus Vincere,Gold
ZEONN,NAVI,Natus Vincere,Gold
XMAGIC,NAVI,Natus Vincere,Mid
HAN,NAVI,Natus Vincere,Jungle
SUPER DANN,NAVI,Natus Vincere,EXP
SUPER KENN,RRQ,RRQ Hoshi,Jungle
RINZ,RRQ,RRQ Hoshi,Mid
IDOK,RRQ,RRQ Hoshi,Roam
SUPER TOYY,RRQ,RRQ Hoshi,Gold
YEHEZKIEL,RRQ,RRQ Hoshi,Mid
KUROKY,RRQ,RRQ Hoshi,Gold
ARAN,RRQ,RRQ Hoshi,EXP
KEVINN,TLID,Team Liquid ID,Jungle
DRICHEL,TLID,Team Liquid ID,Mid
LYONI,TLID,Team Liquid ID,Roam
KYOUU,TLID,Team Liquid ID,Gold
AREDLAVV,TLID,Team Liquid ID,EXP
MARCEL,TLID,Team Liquid ID,EXP
MAYKIDS,GEEK,Geek Fam ID,Jungle
A B O Y,GEEK,Geek Fam ID,Mid
BALOYSKIE,GEEK,Geek Fam ID,Roam
KENNZYYSKIE,GEEK,Geek Fam ID,Gold
YE3,GEEK,Geek Fam ID,EXP
ASUNE,GEEK,Geek Fam ID,Roam
NAZARA,GEEK,Geek Fam ID,Jungle
LUKE,GEEK,Geek Fam ID,EXP
ALBERTTT,EVOS,EVOS Esports,Jungle
PHEWW,EVOS,EVOS Esports,Mid
KYY,EVOS,EVOS Esports,Roam
ERLAN,EVOS,EVOS Esports,Gold
TREACKY,EVOS,EVOS Esports,Mid
VELL,EVOS,EVOS Esports,EXP
EGATZY,EVOS,EVOS Esports,Roam
LUTPI,EVOS,EVOS Esports,EXP
KAIRI,ONIC,ONIC Esports,Jungle
S A N Z,ONIC,ONIC Esports,Mid
KIBOY,ONIC,ONIC Esports,Roam
KELRA,ONIC,ONIC Esports,Gold
SSAMUEL,ONIC,ONIC Esports,Roam
QINN,ONIC,ONIC Esports,EXP
DOLYNN,DEWA,Dewa United Esports,Jungle
OCTA,DEWA,Dewa United Esports,Mid
MUEZZA,DEWA,Dewa United Esports,Roam
MAYBEEE,DEWA,Dewa United Esports,Gold
KAYN,DEWA,Dewa United Esports,Jungle
KESU,DEWA,Dewa United Esports,Roam
